epoch,acc,loss,val_acc,val_loss
0,0.8656945495759192,0.3988083899953428,0.8957068615804274,0.31202292925203606
1,0.9294943425899199,0.2141377445340757,0.9302316218043287,0.2129453955470739
2,0.9455883961747926,0.16937340854221397,0.9102635710491255,0.29033234221868204
3,0.9538580007326412,0.14267661458905245,0.9042531873066776,0.3025284026715586
4,0.9600330952904892,0.12550491850628417,0.858925712922701,0.4228976912850056
5,0.9645017635814132,0.11212267615131744,0.9270766698799956,0.22462290814782407
6,0.967811888333203,0.10247877608702367,0.9562499936753378,0.13429811115606508
7,0.9693128588114981,0.09591731027348249,0.9528953608589622,0.15164160371249238
8,0.972497427015187,0.08847851856122568,0.9419129322321651,0.1761176313328283
9,0.9738671339282079,0.08260447361454752,0.9227635709051126,0.24854251967829327
10,0.9749514850602957,0.07895140542991348,0.950479226454664,0.15025949548444928
11,0.9763383131779134,0.07639733243522313,0.9672723588185569,0.10517290503827308
12,0.9777308485406186,0.07174355820263154,0.9724440846128014,0.08625023326942155
13,0.9790377771047517,0.067792884806315,0.9404352963827669,0.19897118823795457
14,0.9797169235304819,0.06574584669315538,0.9188498327026542,0.30905944770921734
15,0.9808583459330535,0.06162973994065696,0.9582268308145931,0.13361440603520883
16,0.9811950654468367,0.06040642215389192,0.9495806643804803,0.16381848304991434
17,0.9826675003562231,0.05693250454429887,0.9653953619467945,0.11206890572533428
18,0.9826560860667486,0.05691868307859521,0.9788338618513684,0.06656219716761827
19,0.9832210902304508,0.05490955794547419,0.9649360966734802,0.11245236210307455
20,0.9840543285622851,0.053094869043667205,0.9842851407016618,0.053332459977764736
21,0.9847620104276594,0.05099906144569507,0.9704073431630866,0.10162197160828389
22,0.9853098931826626,0.049440437781090536,0.9553713993713878,0.1455175985040823
23,0.9858977257076048,0.04814098950343319,0.9779153314118568,0.07379403706618061
24,0.9856751483095766,0.0474255582226927,0.9484225175322626,0.17781270081036019
25,0.9860118680274619,0.046676383665158507,0.964676512125582,0.11398629861186071
26,0.9867366712641163,0.04549787919441634,0.9775159703537869,0.07362996323849447
27,0.9867195498282038,0.044824163584668356,0.9044129322833432,0.3495422337327328
28,0.9871475832155613,0.04430032476472181,0.9856429682871976,0.05124006146044744
29,0.9876954659875731,0.042543700960703,0.9749201233513629,0.08515675067364167
30,0.9874785957529915,0.04260695011300449,0.9620806651707655,0.13333167260192474
31,0.9878267295562491,0.041595543119605664,0.9346245932526672,0.23059697665021972
32,0.9884716332598291,0.040089363395297554,0.9538937632839519,0.15083344063519638
33,0.9884088550674196,0.040229665744843913,0.9825479198877994,0.0609340097961803
34,0.9889224951172811,0.03893604606245746,0.9800918492170188,0.06787446058459785
35,0.9884773404028655,0.03969048015657319,0.9715255540899765,0.0961178706699652
36,0.989116536942999,0.0379687995710095,0.9819089420758688,0.06327351852849769
37,0.9894075996628663,0.03771628168058201,0.9757388133448534,0.08018371677948549
38,0.9898869970824237,0.03612021416212673,0.9856230002670242,0.04969857399836897
39,0.9897728548340023,0.036156782596170625,0.973402551164071,0.09451188514957178
40,0.9899783109049726,0.035951719970347,0.9724840206531481,0.09960374355609246
41,0.9900810389795772,0.03530557953196399,0.9534145303951285,0.16664573909912314
42,0.9900753317787119,0.03554038117075675,0.959045521177042,0.1441698007182569
43,0.9906346287381471,0.03379007532519523,0.9865015947018949,0.050092849644092906
44,0.9904748296345794,0.03403782485828532,0.9678913685865105,0.11308134466340132
45,0.9905946789852167,0.03398710239024644,0.955351430994158,0.16627766179397313
46,0.9907259425811062,0.032621746116057684,0.977156545205143,0.08126096900466223
47,0.9906802856885412,0.03342376422135321,0.9767571842660919,0.08339225452228899
48,0.9909428127714657,0.032471330195699165,0.9734824231376473,0.08987583995849927
49,0.9913480177295493,0.031866506710575185,0.9788737978679113,0.07439962584986917
50,0.9911996328440204,0.03112539984616966,0.9790934467325195,0.07473082215891193
51,0.9912681181284407,0.03171186505212224,0.9894169306102842,0.03996970751430667
52,0.9916676160387355,0.030689913308042334,0.9377396091723594,0.24602180806333765
53,0.9916333733812177,0.030536314390038233,0.950139769659446,0.19046287762085587
54,0.9916904445054283,0.030178710245077133,0.9878394543505705,0.04565156461892667
55,0.9918673650244982,0.029499165856844648,0.8979832198316107,0.5183239221855918
